transaction_id,partner_batch_id,account_id,transaction_date,posted_date,transaction_type,amount,currency,status,merchant_name,related_transaction_id,source_system
TXN-00001195,BATCH-2026-08-17,ACCT-000208,2026-08-17,2026-08-18,purchase,9.89,USD,completed,Stark Utilities,,POS-EAST
TXN-00000350,BATCH-2026-08-17,ACCT-000509,2026-08-17,2026-08-19,purchase,34.18,USD,completed,Hooli Cloud,,ONLINE-CHECKOUT
TXN-00000404,BATCH-2026-08-17,ACCT-002128,2026-08-16,2026-08-16,purchase,12.23,USD,completed,Fabrikam Supply,,ONLINE-CHECKOUT
TXN-00001154,BATCH-2026-08-17,ACCT-000808,2026-08-17,2026-08-18,purchase,48.22,USD,completed,Acme Wholesale,,POS-EAST
TXN-00001724,BATCH-2026-08-17,ACCT-003781,2026-08-16,2026-08-16,purchase,42.13,USD,completed,Umbrella Logistics,,ACH-BATCH
TXN-00001208,BATCH-2026-08-17,ACCT-002585,2026-08-17,2026-08-18,transfer,68.11,CAD,completed,Acme Wholesale,,ACH-BATCH
TXN-00001298,BATCH-2026-08-17,ACCT-001632,2026-08-16,2026-08-16,purchase,11.07,CAD,completed,Initech Services,,POS-EAST
TXN-00001966,BATCH-2026-08-17,ACCT-000306,2026-08-17,2026-08-19,purchase,8.41,USD,completed,Umbrella Logistics,,ACH-BATCH
TXN-00001932,BATCH-2026-08-17,ACCT-001590,2026-08-17,2026-08-19,purchase,41.02,USD,completed,Stark Utilities,,POS-EAST
TXN-00001733,BATCH-2026-08-17,ACCT-001117,2026-08-17,2026-08-17,purchase,31.47,CAD,completed,Northwind Traders,,POS-WEST
TXN-00001810,BATCH-2026-08-17,ACCT-003356,2026-08-16,2026-08-16,purchase,48.72,CAD,completed,Pied Piper Software,,ONLINE-CHECKOUT
TXN-00000786,BATCH-2026-08-17,ACCT-001218,2026-08-17,2026-08-19,purchase,43.38,CAD,completed,Pied Piper Software,,ACH-BATCH
TXN-00001471,BATCH-2026-08-17,ACCT-003576,2026-08-16,2026-08-16,refund,-5.83,USD,completed,Wonka Confections,TXN-00000803,ACH-BATCH
TXN-00001999,BATCH-2026-08-17,,2026-08-17,2026-08-17,refund,-13.98,USD,completed,Globex Corp,TXN-00001526,POS-EAST
TXN-00000671,BATCH-2026-08-17,ACCT-003026,2026-08-16,2026-08-17,transfer,0.00,USD,completed,Pied Piper Software,,ACH-BATCH
TXN-00000200,BATCH-2026-08-17,ACCT-004609,2026-08-16,2026-08-18,purchase,17.45,USD,completed,Globex Corp,,POS-WEST
TXN-00000979,BATCH-2026-08-17,ACCT-003408,2026-08-17,2026-08-17,purchase,15.99,USD,completed,Contoso Retail,,ACH-BATCH
TXN-00001763,BATCH-2026-08-17,ACCT-000924,2026-08-17,2026-08-18,purchase,31.23,USD,completed,Initech Services,,ACH-BATCH
TXN-00000936,BATCH-2026-08-17,ACCT-004196,2026-08-17,2026-08-18,transfer,31.66,USD,completed,Umbrella Logistics,,POS-WEST
TXN-00000083,BATCH-2026-08-17,ACCT-000824,2026-08-17,2026-08-18,purchase,21.91,USD,completed,Stark Utilities,,POS-WEST
